City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
662,Daraitan,PH,80.71,overcast clouds,14.6028,121.4319,Daraitan Guesthouse
664,Tonantins,BR,86.38,scattered clouds,-2.8731,-67.8022,Hotel Rei Davi
665,Kapoeta,SS,80.53,light rain,4.7717,33.5903,Eastgate Hotel
669,Kushima,JP,77.63,light rain,31.4583,131.2333,Hanaoka
670,Aitape,PG,77.04,scattered clouds,-3.1374,142.3475,
671,Piacabucu,BR,79.5,clear sky,-10.4056,-36.4344,Piaçabuçu News
675,Robertsport,LR,81.5,light rain,6.7533,-11.3686,Kwepunha Retreat
678,Canutama,BR,94.39,clear sky,-6.5339,-64.3831,Hotel Jhennifer
681,Letpadan,MM,82.71,overcast clouds,17.7833,95.75,Ko Arkar Lin
683,Tahta,EG,91.72,clear sky,26.7693,31.5021,El Salam Hotel
686,Oleggio,IT,79.32,clear sky,45.6015,8.6434,Hotel Oleggio Malpensa
687,Dwarka,IN,83.62,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
688,Bonavista,CA,77.0,few clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
690,Harper,LR,80.15,overcast clouds,4.375,-7.7169,Screensaver
